ISO_3,STATUS,id,name,showname,dy,dx
CMR,Member State,43,Cameroon,Cameroon,0,0
COD,Member State,65,Democratic Republic of the Congo,Congo DR,,
COG,Member State,56,Congo,Congo,0,0
COK,NZ Territory,57,Cook Islands,,,
COL,Member State,54,Colombia,Colombia,-15,0
COM,Member State,55,Comoros,,,
CPV,Member State,45,Cape Verde,,,
CRI,Member State,58,Costa Rica,Costa Rica,0,0
CUB,Member State,61,Cuba,,,
CXR,AU Territory,51,Christmas Island,,,
CYM,UK Non-Self-Governing Territory,46,Cayman Islands,,,
CYP,Member State,62,Cyprus,Cyprus,0,0
CZE,Member State,63,Czech Republic,,,
DEU,Member State,90,Germany,,,
DJI,Member State,67,Djibouti,,,
DMA,Member State,68,Dominica,,,
DNK,Member State,66,Denmark,,,
DOM,Member State,69,Dominican Republic,Dominican Republic,-10,20
DZA,Member State,3,Algeria,Algeria,40,0
ECU,Member State,70,Ecuador,Ecuador,0,0
ERI,Member State,74,Eritrea,Eritrea,0,0
ESH,Non-Self-Governing Territory,266,Western Sahara,,,
ESP,Member State,226,Spain,Spain,0,0
EST,Member State,75,Estonia,,,
ETH,Member State,76,Ethiopia,Ethiopia,0,0
FIN,Member State,81,Finland,,,
FJI,Member State,80,Fiji,,,
FLK,UK Non-Self-Governing Territory,78,Falkland Islands (Malvinas),,,
FRA,Member State,82,France,,,
FRO,DK Territory,79,Faroe Islands,,,
FSM,Member State,159,Micronesia (Federated States of),,,
GAB,Member State,86,Gabon,,,
GBR,Member State,251,U.K. of Great Britain and Northern Ireland,United Kingdom,,
GEO,Member State,89,Georgia,Georgia,0,0
GHA,Member State,91,Ghana,,,
GIB,UK Non-Self-Governing Territory,92,Gibraltar,,,
GIN,Member State,102,Guinea,,,
GLP,FR Territory,97,Guadeloupe,,,
GMB,Member State,87,Gambia,Gambia,0,0
GNB,Member State,103,Guinea-Bissau,,,
GNQ,Member State,73,Equatorial Guinea,,,
GRC,Member State,94,Greece,Greece,0,0
GRD,Member State,96,Grenada,,,
GRL,DK Territory,95,Greenland,,,
GTM,Member State,100,Guatemala,Guatemala,-5,0
GUF,FR Territory,83,French Guiana,,,
GUM,US Non-Self-Governing Territory,98,Guam,,,
GUY,Member State,104,Guyana,,,
HKG,CN Special Administrative Region,109,Hong Kong,,,
HMD,AU Territory,106,Heard Island and McDonald Islands,,,
HND,Member State,108,Honduras,Honduras,0,0
HRV,Member State,60,Croatia,Croatia,0,0
HTI,Member State,105,Haiti,Haiti,5,-5
HUN,Member State,111,Hungary,,,
IDN,Member State,114,Indonesia,Indonesia,-15,0
IMY,UK Territory,118,Isle of Man,,,
IND,Member State,113,India,India,0,-25
IOT,UK Territory,36,British Indian Ocean Territory,,,
IRL,Member State,117,Ireland,Ireland,0,0
IRN,Member State,115,Iran (Islamic Republic of),Iran,-15,
IRQ,Member State,116,Iraq,Iraq,-52,0
ISL,Member State,112,Iceland,,,
ISR,Member State,119,Israel,Israel,-6,-50
JAM,Member State,121,Jamaica,,,
JOR,Member State,126,Jordan,,,
JPN,Member State,122,Japan,Japan,0,0
KAZ,Member State,128,Kazakhstan,Kazakhstan,0,0
KEN,Member State,129,Kenya,Kenya,0,0
KGZ,Member State,134,Kyrgyzstan,Kyrgyzstan,0,0
KHM,Member State,42,Cambodia,Cambodia,-8,0
KIR,Member State,131,Kiribati,,,
KNA,Member State,205,Saint Kitts and Nevis,,,
KOR,Member State,199,Republic of Korea,,,
KWT,Member State,133,Kuwait,,,
LAO,Member State,135,Lao People's Democratic Republic,,,
LBN,Member State,137,Lebanon,Lebanon,0,-40
LBR,Member State,140,Liberia,,,
LBY,Member State,141,Libya,Libya,20,0
LCA,Member State,206,Saint Lucia,,,
LIE,Member State,142,Liechtenstein,,,
LKA,Member State,228,Sri Lanka,Sri Lanka,-20,0
LSO,Member State,138,Lesotho,,,
LTU,Member State,143,Lithuania,Lithuania,0,0
LUX,Member State,144,Luxembourg,,,
LVA,Member State,136,Latvia,Latvia,0,0
MAC,CN Special Administrative Region,145,Macau,,,
MAR,Member State,166,Morocco,,,
MDA,Member State,161,"Moldova, Republic of",,,
MDG,Member State,146,Madagascar,Madagascar,0,0
MDV,Member State,150,Maldives,,,
PLW,Member State,186,Palau,,,
TKL,NZ Non-Self-Governing Territory,242,Tokelau,,,
MEX,Member State,158,Mexico,Mexico,-30,0
MHL,Member State,153,Marshall Islands,,,
MKD,Member State,239,The former Yugoslav Republic of Macedonia,,,
MLI,Member State,151,Mali,Mali,0,10
MLT,Member State,152,Malta,,,
MMR,Member State,168,Myanmar,Myanmar,0,0
MNE,Member State,164,Montenegro,,,
MNG,Member State,163,Mongolia,,,
MNP,US Territory,182,Northern Mariana Islands,,,
MOZ,Member State,167,Mozambique,Mozambique,0,0
MRT,Member State,155,Mauritania,,,
MSR,UK Non-Self-Governing Territory,165,Montserrat,,,
MTQ,FR Territory,154,Martinique,,,
MUS,Member State,156,Mauritius,,,
MWI,Member State,148,Malawi,,,
MYS,Member State,149,Malaysia,,,
MYT,FR Territory,157,Mayotte,,,
NAM,Member State,169,Namibia,,,
NCL,FR Non-Self-Governing Territory,175,New Caledonia,,,
NER,Member State,178,Niger,,,
NFK,AU Territory,181,Norfolk Island,,,
NGA,Member State,179,Nigeria,Nigeria,-15,0
NIC,Member State,177,Nicaragua,Nicaragua,0,0
NIU,NZ Territory,180,Niue,,,
NLD,Member State,173,Netherlands,,,
NOR,Member State,183,Norway,,,
NPL,Member State,172,Nepal,Nepal,0,-8
NRU,Member State,170,Nauru,,,
NZL,Member State,176,New Zealand,,,
OMN,Member State,184,Oman,,,
PAK,Member State,185,Pakistan,Pakistan,30,-50
PAN,Member State,188,Panama,Panama,0,0
PCN,UK Non-Self-Governing Territory,194,Pitcairn Islands,,,
PER,Member State,192,Peru,Peru,-20,-10
PHL,Member State,193,Philippines,Philippines,-20,0
PNG,Member State,189,Papua New Guinea,Papua New Guinea,0,0
POL,Member State,195,Poland,,,
PRI,US Territory,197,Puerto Rico,,,
PRK,Member State,64,Democratic People's Republic of Korea,,,
PRT,Member State,196,Portugal,,,
PRT,PT Territory,17,Azores Islands,,,
PRY,Member State,191,Paraguay,Paraguay,0,0
PYF,FR Territory,84,French Polynesia,,,
QAT,Member State,198,Qatar,,,
REU, FR Territory,200,R̩union,,,
ROU,Member State,201,Romania,,,
RUS,Member State,202,Russian Federation,Russian Federation,0,0
RWA,Member State,203,Rwanda,Rwanda,-10,0
SAU,Member State,212,Saudi Arabia,Saudi Arabia,0,0
SEN,Member State,214,Senegal,,,
SGP,Member State,219,Singapore,,,
SJM,NO Territory,231,Svalbard and Jan Mayen Islands,,,
SLB,Member State,222,Solomon islands,,,
SLE,Member State,218,Sierra Leone,Sierra Leone,-20,0
SLV,Member State,72,El Salvador,El Salvador,0,0
SOM,Member State,223,Somalia,Somalia,12,-12
SRB,Member State,216,Serbia,Serbia,0,0
STP,Member State,211,Sao Tome and Principe,,,
SUR,Member State,230,Suriname,,,
SVK,Member State,220,Slovakia,,,
 ,FR Territory,93,Glorioso Islands,,,
SVN,Member State,221,Slovenia,,,
SWE,Member State,233,Sweden,,,
SWZ,Member State,232,Swaziland,,,
SYC,Member State,217,Seychelles,,,
SYR,Member State,235,Syrian Arab Republic,Syria,-20,26
TCA,UK Non-Self-Governing Territory,249,Turks and Caicos Islands,,,
TCD,Member State,48,Chad,,,
TGO,Member State,241,Togo,,,
THA,Member State,238,Thailand,Thailand,-10,0
TJK,Member State,237,Tajikistan,Tajikistan,0,0
TKM,Member State,248,Turkmenistan,Turkmenistan,0,0
TLS,Member State,240,Timor-Leste,Timor-Leste,0,0
TON,Member State,243,Tonga,,,
TTO,Member State,244,Trinidad and Tobago,,,
TUN,Member State,246,Tunisia,Tunisia,0,0
TUR,Member State,247,Turkey,Turkey,30,0
TUV,Member State,250,Tuvalu,,,
TWN,CN Province,236,Taiwan,,,
TZA,Member State,255,United Republic of Tanzania,Tanzania,,
UGA,Member State,252,Uganda,Uganda,0,0
UKR,Member State,253,Ukraine,Ukraine,0,0
URY,Member State,258,Uruguay,Uruguay,0,0
USA,Member State,256,United States of America,United States,,
UZB,Member State,259,Uzbekistan,,,
VCT,Member State,208,Saint Vincent and the Grenadines,,,
VEN,Member State,261,Venezuela,Venezuela,-10,-10
VGB,UK Non-Self-Governing Territory,37,British Virgin Islands,,,
VIR,US Non-Self-Governing Territory,257,United States Virgin Islands,,,
VNM,Member State,262,Viet Nam,,,
VUT,Member State,260,Vanuatu,,,
WSM,Member State,209,Samoa,,,
YEM,Member State,267,Yemen,Yemen,0,0
ZAF,Member State,224,South Africa,South Africa,0,0
ZMB,Member State,268,Zambia,,,
ZWE,Member State,269,Zimbabwe,Zimbabwe,0,0
SMR,Member State,210,San Marino,,,
VAT,Permanent Observer to the UN,107,Holy See,,,
MCO,Member State,162,Monaco,,,
SSD,Member State,0,South Sudan,,,
SDN,Sovereignty unsettled,0,Abyei,,,
EGY,Member State,71,Egypt,Egypt,20,15
SDN,Member State,229,Sudan,Sudan,0,0
